bowler,runs_conceded,balls_bowled,overs_bowled,economy_rate
AC Gilchrist,0,1,0.16666666666666666,0.0
R Ravindra,7,12,2.0,3.5
NB Singh,18,24,4.0,4.5
Sachin Baby,8,10,1.6666666666666667,4.8
AM Rahane,5,6,1.0,5.0
DJ Thornely,40,42,7.0,5.714285714285714
M Manhas,42,42,7.0,6.0
SS Mundhe,6,6,1.0,6.0
LA Carseldine,6,6,1.0,6.0
MW Short,25,24,4.0,6.25
